typeOfSource,name,url,url_alt,assessmentStatus,assessmentFootnote,discussionSummary,discussionSummaryFootnote
research,American Academy of Pediatrics,https://www.aap.org/en/patient-care/immunizations/,,vsn,"<ref name=""VSN"">See also: {{Citation |title=Wikipedia:Vaccine safety/Reference sources |date=2020-10-30 |url=https://en.wikipedia.org/w/index.php?title=Wikipedia:Vaccine_safety/Reference_sources&oldid=986264422 |language=en |accessdate=2022-06-14}}</ref>",,
government,AusVaxSafety (Australia),https://ausvaxsafety.org.au/,,vsn,,,
government,Centers for Disease Control and Prevention,https://www.cdc.gov/vaccines/index.html,,vsn,,,
government,CCIC: Colorado Children’s Immunization Coalition (United States),https://www.immunizecolorado.org/,,vsn,,,
government,EMC (Europe),https://commission.europa.eu/,,vsn,,,
government,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/immunisation-vaccines/,,vsn,"<ref name=""VSN"" />",,
government,GAVI Vaccine Alliance,https://www.gavi.org/,,vsn,,,
government,Ghana Food and Drugs Authority,http://www.fdaghana.gov.gh/,,vsn,,,
research,Global Advisory Committee on Vaccine Safety (GACVS),https://www.who.int/groups/global-advisory-committee-on-vaccine-safety/,,vsn,,,
research,HPV Prevention and Control Board,https://www.uantwerpen.be/en/projects/hpv-prevention-and-control-board/,,vsn,,,
,I Boost Immunity,https://iboostimmunity.com/,,vsn,,,
research,IAP Advisory Committee On Vaccines & Immunization Practices,http://www.acvip.org/,,vsn,,,
government,Immunisation Advisory Centre,https://www.immune.org.nz/,,vsn,,,
government,Immunise Australia Program,https://www.health.gov.au/our-work/national-immunisation-program,,vsn,,,
,Immunization Action Coalition,https://www.immunize.org/,,vsn,,,
government,ImmunizeBC (Canada),https://immunizebc.ca/,,vsn,,,
research,Johns Hopkins School of Public Health,https://www.vaccinesafety.edu/,,vsn,,,
,Kids Boost Immunity,https://kidsboostimmunity.com/,,vsn,,,
government,Melbourne Vaccine Education Centre (Australia),https://mvec.mcri.edu.au/,,vsn,,,
,Medecins Sans Frontieres,https://www.msf.org/,,vsn,,,
government,National Centre for Immunisation Research & Surveillance (NCIRS) (Australia),https://www.ncirs.org.au/,,vsn,,,
research,Network for Education and Support in Immunisation (NESI) (Belgium),https://www.nesi.be/,,vsn,,,
government,NHS Inform,https://www.nhsinform.scot/immunisation,,vsn,,,
government,National Academies,https://nap.nationalacademies.org/collection/55/vaccines,,vsn,,,
government,National Institute of Allergy and Infectious Diseases (NIAID),https://www.niaid.nih.gov/,,vsn,,,
government,NICE (United Kingdom),https://www.nice.org.uk/guidance/health-protection/communicable-diseases/immunisation,,vsn,,,
,Northern Rivers Vaccination Supporters (Australia),https://nrvs.info/,,vsn,,,
research,Our World In Data,https://ourworldindata.org/search?q=vaccines,,vsn,,,
research,PATH Vaccine Resource Library,https://www.path.org/,,vsn,,,
government,UK Health Security Agency,https://ukhsa.blog.gov.uk/,,vsn,,,
research,Children's Hospital of Philadelphia,https://www.chop.edu/centers-programs/vaccine-education-center,,vsn,,,
research,Vaccine Knowledge Project,https://vk.ovg.ox.ac.uk/vk/,,vsn,,,
,Vaccines Today (Europe),https://www.vaccinestoday.eu/,,vsn,,,
research,Vaccines for Africa (VACFA) (South Africa),http://www.vacfa.uct.ac.za/,,vsn,,,
research,Viral Hepatitis Prevention Board,https://www.vhpb.org/,,vsn,,,
government,WHO,https://www.who.int/health-topics/vaccines-and-immunization,,vsn,,,
government,Vaccines.gov,https://www.vaccines.gov/basics/safety,,,,,
government,NHS,https://www.nhs.uk/conditions/vaccinations/,,,,,
government,Australian Department of Health,https://www.health.gov.au/health-topics/immunisation,,,,,
